Rk,Player,NationFixed,Nation,Pos,Squad,AgeFixed,Age,Born,MatchesPlayed,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
244,Lloyd Kelly,,GBR,DF,Bournemouth,24,24-117,1998,10,10,900,10,0,2,0,0,0,2,0,0.1,0.1,0.1,0.3
245,Max Kilman,,GBR,DF,Wolves,25,25-253,1997,20,20,1800,20,0,0,0,0,0,3,0,0.6,0.6,0,0.6
246,Mateusz Klich,,POL,MFFW,Leeds United,32,32-232,1990,14,0,280,3.1,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4
247,Robin Koch,,DEU,DF,Leeds United,26,26-198,1996,19,19,1662,18.5,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4
248,Ibrahima Konaté,,FRA,DF,Liverpool,23,23-251,1999,5,4,382,4.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2
249,Ezri Konsa,,GBR,DF,Aston Villa,25,25-100,1997,20,19,1702,18.9,0,0,0,0,0,3,0,0.5,0.5,0.5,0.9
250,Kalidou Koulibaly,,SEN,DF,Chelsea,31,31-225,1991,14,12,1115,12.4,2,0,2,0,0,5,1,0.8,0.8,0.4,1.2
251,Cheikhou Kouyaté,,SEN,MFDF,Nott'ham Forest,33,33-041,1989,12,9,704,7.8,1,0,1,0,0,2,0,0.3,0.3,0.6,1
252,Mateo Kovačić,,CRO,MF,Chelsea,28,28-270,1994,15,7,835,9.3,0,1,0,0,0,3,0,0.4,0.4,1.1,1.6
253,Emil Krafth,,SWE,DF,Newcastle Utd,28,28-182,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
254,Dejan Kulusevski,,SWE,MFFW,Tottenham,22,22-281,2000,13,11,967,10.7,2,5,2,0,0,0,0,1.2,1.2,2.7,4
255,Layvin Kurzawa,,FRA,DF,Fulham,30,30-149,1992,2,2,134,1.5,0,0,0,0,0,1,0,0,0,0,0
256,Adam Lallana,,GBR,MFFW,Brighton,34,34-266,1988,16,12,722,8,2,1,2,0,0,0,0,0.9,0.9,1,1.9
257,Tariq Lamptey,,GHA,DF,Brighton,22,22-123,2000,16,1,320,3.6,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3
258,Manuel Lanzini,,ARG,MFFW,West Ham,29,29-350,1993,5,1,126,1.4,0,0,0,0,0,0,0,0.1,0.1,0,0.1
259,Aymeric Laporte,,ESP,DF,Manchester City,28,28-249,1994,5,4,376,4.2,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3
260,Juan Larios,,ESP,DF,Southampton,19,19-019,2004,5,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0
261,Jamaal Lascelles,,GBR,DF,Newcastle Utd,29,29-081,1993,4,1,107,1.2,0,0,0,0,0,3,0,0.1,0.1,0,0.1
262,Roméo Lavia,,BEL,MF,Southampton,19,19-025,2004,11,9,741,8.2,1,0,1,0,0,3,0,0.2,0.2,0.2,0.4
263,Dexter Lembikisa,,JAM,DF,Wolves,19,19-088,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0
264,Mario Lemina,,GAB,MF,Wolves,29,29-152,1993,2,1,84,0.9,0,0,0,0,0,1,0,0,0,0.1,0.1
265,Clément Lenglet,,FRA,DF,Tottenham,27,27-228,1995,13,11,935,10.4,0,2,0,0,0,2,0,0.6,0.6,0.6,1.2
266,Bernd Leno,,DEU,GK,Fulham,30,30-333,1992,19,19,1710,19,0,0,0,0,0,2,0,0,0,0,0
267,Jefferson Lerma,,COL,MFDF,Bournemouth,28,28-098,1994,20,20,1793,19.9,2,0,2,0,0,3,0,1.2,1.2,0.4,1.6
268,Jamal Lewis,,NIR,DF,Newcastle Utd,25,25-006,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0
269,Rico Lewis,,GBR,DFMF,Manchester City,18,18-071,2004,8,4,363,4,0,0,0,0,0,1,0,0,0,0.8,0.8
